"","conMw1","conMw2","conMw3","conFw1","conFw2","conFw3","dietMw1","dietMw2","dietMw3","dietFw1","dietFw2","dietFw3","conMko1","conMko2","conMko3","conFko1","conFko2","conFko3","dietMko1","dietMko2","dietMko3","dietFko1","dietFko2","dietFko3"
"Ifi208",2.2381711757805,1.84568702529758,1.6314144970764,2.1857999631757,1.64359202649164,1.94290798830246,2.37572054178248,1.97024060516905,2.13097087845195,2.37572054178248,2.01790420910034,2.20465658956986,1.30526433112585,1.12684872925813,1.66657594235582,3.44465892562863,2.72227571842529,2.18970665934958,1.66657594235582,1.76346860461415,2.01682745675174,2.04355084208482,2.41544256683814,1.84917818684803
"Mup9",9.54587040187261,8.87273424632915,9.14647781291942,7.82545465825122,7.47252801398681,6.54484845201705,7.59960872371945,7.45124983215628,5.62706607500084,7.00246034552651,5.17471684735445,5.62754042238134,8.84508455107895,10.2282882929856,8.69249314208852,7.57892008550114,7.55883111612282,7.88447488120246,7.40334589877397,7.00966726172052,6.90919710206551,5.06517458095647,6.50513764210487,6.43711388555458
"Mup12",12.4947281147349,12.3575176136837,12.0767309361414,11.6797019733336,11.146466127056,10.6018567945706,11.2228667202829,11.3389835781769,11.0278955248429,10.8144188687641,10.2156831294763,10.1189830336565,11.9904525102417,12.5250098839132,12.7054108069393,11.1589985688914,11.3099167295691,11.3230503166764,11.1833893253656,11.1088868074068,11.2398676743842,9.9039451616035,10.9336355495674,10.6680710398854
"Tcf24",4.31803261126326,4.02013225127453,4.30644541772767,5.97097173040776,6.10632556729005,5.98487168040465,4.17192967152182,4.09426935178203,4.41722447270909,5.3096512347674,7.13250533212147,5.72386277127223,4.13549054030226,3.47786788506248,5.12799351761526,5.81312381241115,5.4070011591052,5.45676929599299,4.6305177306213,4.20071565454655,4.47696743835558,5.82308796460534,5.5193595485035,5.59401935442398
"Ildr2",6.65833224623954,4.74858738260535,5.14066329145636,6.19736886572319,7.02395849247394,6.65618949533713,7.33043950245097,7.22001533148103,7.14203336107947,7.53119236124439,7.2732233269464,7.71386436758575,5.33826379857176,5.9403700509546,6.12838892776288,5.87530359327215,6.98765640044768,6.72728040686551,7.02841854915303,6.97238101861308,7.06551680666507,7.65479010317377,7.46242017181851,8.35525798622174
"Gm3255",6.12562332927974,5.73923318117794,5.94446991687288,6.96224369858045,6.77654297079042,6.68913012077517,5.58751084287548,5.91498688492934,6.25652796807881,5.7319793019033,6.07844698179017,6.01973005797048,6.14043212412502,5.8350250187958,5.14674392898861,6.45538520658077,7.24603919017355,6.85237399807127,5.27010914373007,5.75747329489111,5.92428967334978,6.02100850652292,5.31953465505457,5.91037618541258
"Cyp3a59",5.61156633415238,5.72386004959152,6.18333787470642,6.54662459700626,6.41255957553673,6.79447998802523,7.19599371132147,7.03676464313307,7.13472387607366,6.8787364878875,7.89502098165791,7.15225013807678,5.72400305149826,5.33540434153395,3.53395169400689,6.60866297068213,6.92123942424421,6.24735200503968,6.84765879231269,6.25191063426453,7.61565451109531,7.36495184583572,6.93883116741956,7.41652752690509
"Ly6c2",4.43828788923301,3.78904831018814,4.37478893114189,4.59696481422136,5.07509726194462,4.24833627589693,4.79143415754392,4.93340096459138,4.37077864245725,5.42328261836473,4.29651712891448,5.07599779882439,3.49654881348884,3.66141007062183,3.52024911257974,4.9269030625205,4.42627148741914,4.59696481422136,4.82348280720748,4.55569330903538,4.5117760552141,5.32839238131836,4.74698915867072,4.65474580020736
"Gm10639",4.05129189956212,4.02711420099845,4.17709905267772,3.78795690444708,4.17813370219551,4.23023868104915,5.85974196970994,6.63707510651876,6.25450957583769,6.29667757433226,6.60752185261093,5.47575295728018,3.55808934190805,4.17183106934892,4.23727379911994,5.04633140755346,3.74726522367905,4.1258076869256,5.84096536349691,5.33777867365896,5.65670056980097,6.18270937339773,6.36239868469621,6.20123010213656
"Cyp2c69",6.96593368715572,7.09817028267391,6.33189528629679,10.6960498570271,11.0123634442012,10.2869929597812,6.52400571297334,5.84677390415738,5.75140170586215,8.3283457945711,8.86303986475416,7.71347549982212,6.3854623796138,6.15339216517988,6.34535752928329,11.3399338440424,11.1263843165095,10.9599592207742,5.84998955667829,5.15703666339551,5.25896314062454,8.08696370722147,8.15002451738391,9.25886326098825
